id,transaction_id,top_results,top_picks_data,other_matches_data,visual_analysis_data,search_summary,chat_blocks,created_at
66,d16e179e-f8fc-4282-a979-e04008f67a8b,[],[],[],,"{""total_found"":100,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":14,""name"":""Test Buyer"",""email"":""test@example.com"",""phone"":null,""location"":""Austin, TX"",""agentId"":28,""budget"":""$300,000 - $500,000"",""budgetMin"":300000,""budgetMax"":500000,""homeType"":""house"",""bedrooms"":3,""bathrooms"":""2+"",""mustHaveFeatures"":[""garage"",""yard""],""dealbreakers"":[""busy street""],""preferredAreas"":[],""lifestyleDrivers"":[],""specialNeeds"":[],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":null,""voiceTranscript"":null,""inferredTags"":[],""emotionalTone"":null,""priorityScore"":50,""rawInput"":""Looking for a 3BR house in Austin with garage under $500k"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-07-21T12:19:03.183Z""}}",[],2025-07-21T12:19:39.668Z
67,d763bcbf-fe48-42e2-bea4-9bb502c57d56,[],[],[],,"{""total_found"":0,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":14,""name"":""Test Buyer"",""email"":""test@example.com"",""phone"":null,""location"":""Austin, TX"",""agentId"":28,""budget"":""$300,000 - $500,000"",""budgetMin"":300000,""budgetMax"":500000,""homeType"":""house"",""bedrooms"":3,""bathrooms"":""2+"",""mustHaveFeatures"":[""garage"",""yard""],""dealbreakers"":[""busy street""],""preferredAreas"":[],""lifestyleDrivers"":[],""specialNeeds"":[],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":null,""voiceTranscript"":null,""inferredTags"":[],""emotionalTone"":null,""priorityScore"":50,""rawInput"":""Looking for a 3BR house in Austin with garage under $500k"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-07-21T12:19:03.183Z""}}",[],2025-07-21T12:28:29.356Z
68,568a0116-2214-441d-b0e9-19ee64495f2a,[],[],[],,"{""total_found"":100,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":14,""name"":""Test Buyer"",""email"":""test@example.com"",""phone"":null,""location"":""Austin, TX"",""budget"":""$300,000 - $500,000"",""budgetMin"":300000,""budgetMax"":500000,""homeType"":""house"",""bedrooms"":3,""bathrooms"":""2+"",""mustHaveFeatures"":[""garage"",""yard""],""dealbreakers"":[""busy street""],""preferredAreas"":[],""lifestyleDrivers"":[],""specialNeeds"":[],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":null,""voiceTranscript"":null,""inferredTags"":[],""emotionalTone"":null,""priorityScore"":50,""rawInput"":""Looking for a 3BR house in Austin with garage under $500k"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-07-21T12:19:03.183Z""}}",[],2025-07-25T16:50:53.055Z
69,20d2cbd1-2012-4c61-a47e-87be6a27e020,[],[],[],,"{""total_found"":100,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":14,""name"":""Test Buyer"",""email"":""test@example.com"",""phone"":null,""location"":""Austin, TX"",""budget"":""$300,000 - $500,000"",""budgetMin"":300000,""budgetMax"":500000,""homeType"":""house"",""bedrooms"":3,""bathrooms"":""2+"",""mustHaveFeatures"":[""garage"",""yard""],""dealbreakers"":[""busy street""],""preferredAreas"":[],""lifestyleDrivers"":[],""specialNeeds"":[],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":null,""voiceTranscript"":null,""inferredTags"":[],""emotionalTone"":null,""priorityScore"":50,""rawInput"":""Looking for a 3BR house in Austin with garage under $500k"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-07-21T12:19:03.183Z""}}",[],2025-07-25T16:51:12.910Z
70,61aa6ff5-6239-468a-8260-fc58661368bf,[],[],[],,"{""total_found"":0,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":14,""name"":""Test Buyer"",""email"":""test@example.com"",""phone"":null,""location"":""Austin, TX"",""budget"":""$300,000 - $500,000"",""budgetMin"":300000,""budgetMax"":500000,""homeType"":""house"",""bedrooms"":3,""bathrooms"":""2+"",""mustHaveFeatures"":[""garage"",""yard""],""dealbreakers"":[""busy street""],""preferredAreas"":[],""lifestyleDrivers"":[],""specialNeeds"":[],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":null,""voiceTranscript"":null,""inferredTags"":[],""emotionalTone"":null,""priorityScore"":50,""rawInput"":""Looking for a 3BR house in Austin with garage under $500k"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-07-21T12:19:03.183Z""}}",[],2025-07-25T16:51:13.232Z
71,b60f85bf-8814-4a65-bf72-39e27afb2900,[],[],[],,"{""total_found"":100,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":14,""name"":""Test Buyer"",""email"":""test@example.com"",""phone"":null,""location"":""Austin, TX"",""budget"":""$300,000 - $500,000"",""budgetMin"":300000,""budgetMax"":500000,""homeType"":""house"",""bedrooms"":3,""bathrooms"":""2+"",""mustHaveFeatures"":[""garage"",""yard""],""dealbreakers"":[""busy street""],""preferredAreas"":[],""lifestyleDrivers"":[],""specialNeeds"":[],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":null,""voiceTranscript"":null,""inferredTags"":[],""emotionalTone"":null,""priorityScore"":50,""rawInput"":""Looking for a 3BR house in Austin with garage under $500k"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-07-21T12:19:03.183Z""}}",[],2025-07-27T01:36:04.406Z
72,a90614dc-58a8-44bf-8124-fe99be5c700c,[],[],[],,"{""total_found"":100,""top_picks_count"":0,""other_matches_count"":0,""visual_analysis_count"":0,""search_criteria"":{""id"":16,""name"":""Piyush Tiwari"",""email"":""replytopiyush@gmail.com"",""phone"":null,""location"":""Quincy, Massachusetts"",""agentId"":28,""budget"":""$500K - $800K"",""budgetMin"":500000,""budgetMax"":800000,""homeType"":""single-family"",""bedrooms"":3,""bathrooms"":""1+"",""mustHaveFeatures"":[""car garage"",""modern kitchen""],""dealbreakers"":[],""preferredAreas"":[""Quincy, Massachusetts""],""lifestyleDrivers"":[],""specialNeeds"":[""family-focused""],""budgetFlexibility"":50,""locationFlexibility"":50,""timingFlexibility"":50,""emotionalContext"":""A couple with one child searching for a home that fits their family's needs."",""voiceTranscript"":null,""inferredTags"":[""family-focused""],""emotionalTone"":""neutral"",""priorityScore"":50,""rawInput"":""Budget: $500K - $800K, Home Type: single-family, 3 bedrooms, 1+ bathrooms"",""inputMethod"":""form"",""nlpConfidence"":100,""version"":1,""parentProfileId"":null,""createdAt"":""2025-08-03T01:01:41.069Z""}}",[],2025-08-03T01:01:48.560Z
